iter	RMSE
0	568606.7395
1	565186.0913
2	562136.2289
3	559148.1179
4	556228.3945
5	553359.9779
6	550422.7601
7	547286.0739
8	544612.6467
9	541807.1377
10	539301.5716
11	536562.5613
12	533939.7169
13	530991.23
14	528457.0726
15	525631.4654
16	523352.043
17	520936.0797
18	518116.5323
19	515742.1065
20	513242.1503
21	510964.8099
22	508775.2039
23	506473.4622
24	504187.3451
25	502134.6783
26	499950.187
27	497726.6761
28	495673.6363
29	494137.9675
30	492710.437
31	490580.5689
32	488664.3588
33	486860.1507
34	485189.5536
35	483413.9496
36	481888.4514
37	480131.157
38	478478.6069
39	476564.9392
40	474885.5222
41	472792.9935
42	471533.1137
43	469793.3248
44	468327.1228
45	466905.4951
46	465071.182
47	463650.7734
48	462243.4201
49	460876.3998
50	459342.1606
51	458140.9617
52	456699.8431
53	455405.1223
54	453923.8956
55	452545.7616
56	451143.0829
57	450081.3653
58	448932.088
59	447829.1477
60	446708.0747
61	445515.8126
62	444311.2088
63	443112.8876
64	441877.6105
65	440641.4397
66	439407.9375
67	438285.4279
68	437112.9205
69	435933.6589
70	434948.6928
71	433613.5491
72	432479.1795
73	431424.3523
74	430293.3911
75	429265.2263
76	428425.9749
77	427314.6346
78	426229.3634
79	425156.5351
80	424068.73
81	422986.2719
82	421879.9081
83	420707.0858
84	419953.8479
85	419313.7095
86	418479.554
87	417654.9044
88	416655.8592
89	415752.2495
90	414964.9936
91	413995.204
92	413005.5484
93	412067.1234
94	411396.7453
95	410608.4135
96	409836.5841
97	408989.5185
98	408128.1047
99	407398.3446
100	406754.5831
101	406105.3666
102	405249.0534
103	404229.8963
104	403592.5016
105	402938.3028
106	402138.1653
107	401468.2905
108	400851.1419
109	400211.1172
110	399536.6792
111	398914.295
112	398165.5021
113	397362.9323
114	396751.7892
115	396188.4071
116	395422.3197
117	394722.1728
118	394043.6982
119	393395.1451
120	392709.0394
121	392120.4739
122	391628.96
123	391203.9882
124	390608.2033
125	390051.0813
126	389551.6581
127	388973.9725
128	388403.2607
129	387805.2941
130	387282.6495
131	386836.6854
132	386327.8305
133	385784.5597
134	385157.8374
135	384634.0555
136	384196.9671
137	383597.7028
138	383146.2331
139	382667.2352
140	382253.5011
141	381803.793
142	381171.4165
143	380625.4393
144	380160.1452
145	379894.7075
146	379624.7643
147	379257.2944
148	378956.8831
149	378654.0216
150	378232.5282
151	377746.8561
152	377430.7419
153	377197.8474
154	376841.0492
155	376412.4148
156	376116.3564
157	375779.9699
158	375426.162
159	375137.4935
160	374763.2318
161	374379.8527
162	373921.0782
163	373638.2754
164	373324.4735
165	373013.8149
166	372692.2782
167	372438.5386
168	372060.9626
169	371808.5121
170	371372.8871
171	370983.8658
172	370638.8662
173	370394.6609
174	370108.062
175	369731.3224
176	369462.795
177	369158.4762
178	368837.7587
179	368476.3833
180	368085.97
181	367687.5399
182	367360.3266
183	367014.9063
184	366756.6548
185	366434.0337
186	366126.6913
187	365781.0778
188	365430.2772
189	365208.6719
190	364889.9255
191	364584.1249
192	364171.3361
193	363996.547
194	363679.2184
195	363338.4717
196	363023.7426
197	362734.4401
198	362431.6897
199	362093.1693
200	361816.2317
201	361572.7951
202	361308.6847
203	361011.9198
204	360718.6902
205	360534.5419
206	360198.4665
207	359934.8315
208	359755.2773
209	359473.3954
210	359219.215
211	358968.3014
212	358736.6184
213	358478.2271
214	358289.3592
215	358104.8687
216	357894.8281
217	357677.9511
218	357431.3596
219	357240.3509
220	357001.6288
221	356854.932
222	356666.9599
223	356513.9876
224	356348.7212
225	356147.0325
226	355874.5813
227	355610.9468
228	355384.6544
229	355186.6311
230	354997.9174
231	354718.4561
232	354533.9433
233	354272.1124
234	354078.9745
235	353930.1613
236	353739.2599
237	353607.6317
238	353443.6632
239	353292.6772
240	353135.3252
241	352937.3419
242	352794.3307
243	352591.8367
244	352355.9051
245	352160.7295
246	352014.7107
247	351797.5619
248	351660.2919
249	351437.3048
250	351206.2001
251	351043.0528
252	350859.8766
253	350716.6558
254	350536.1124
255	350343.1169
256	350145.9169
257	349952.8217
258	349766.6507
259	349582.3797
260	349447.9344
261	349318.086
262	349123.7247
263	348913.0146
264	348776.8566
265	348550.7951
266	348443.9977
267	348314.0302
268	348149.8616
269	347980.5473
270	347890.9714
271	347685.6845
272	347526.1348
273	347375.4172
274	347285.6628
275	347213.7811
276	347068.6871
277	346954.4737
278	346853.9396
279	346698.6471
280	346562.0223
281	346450.4073
282	346383.4136
283	346244.7251
284	346061.6518
285	345855.4056
286	345679.5956
287	345650.318
288	345442.4495
289	345301.9069
290	345253.0967
291	345121.927
292	345015.1145
293	344882.537
294	344743.3878
295	344570.2223
296	344463.5176
297	344278.8905
298	344105.056
299	343996.7821
300	343931.5144
301	343791.7793
302	343702.2763
303	343539.8271
304	343411.1177
305	343307.1756
306	343184.688
307	343097.575
308	342966.2908
309	342790.4099
310	342684.7671
311	342517.3648
312	342417.4648
313	342294.9818
314	342215.0752
315	342057.1055
316	341960.0424
317	341886.0954
318	341781.5909
319	341663.1679
320	341563.4736
321	341445.7574
322	341275.8289
323	341179.0783
324	341104.6672
325	341021.0695
326	340894.8606
327	340794.5439
328	340694.756
329	340657.53
330	340593.2339
331	340528.536
332	340426.8196
333	340315.3553
334	340203.8611
335	340081.5554
336	339961.7839
337	339870.8712
338	339834.1264
339	339728.1795
340	339640.989
341	339536.1799
342	339379.8949
343	339246.6913
344	339135.4119
345	339028.2095
346	338946.9469
347	338867.9596
348	338782.6593
349	338648.1136
350	338539.4861
351	338475.913
352	338375.8611
353	338292.7052
354	338190.7966
355	338091.8076
356	337957.9751
357	337867.736
358	337794.8111
359	337714.3233
360	337572.4542
361	337457.6558
362	337356.7876
363	337230.8025
364	337175.1889
365	337077.3448
366	336993.3561
367	336919.8388
368	336853.2071
369	336736.456
370	336632.8577
371	336549.1356
372	336447.9982
373	336390.6319
374	336272.9789
375	336184.1536
376	336083.866
377	336026.3686
378	335969.8354
379	335910.7753
380	335841.2429
381	335693.4655
382	335605.6718
383	335495.5297
384	335404.7214
385	335336.6364
386	335226.3711
387	335182.7721
388	335114.0438
389	335062.5453
390	334959.9828
391	334863.7517
392	334769.2861
393	334703.6392
394	334647.0766
395	334522.467
396	334439.9789
397	334369.363
398	334306.1871
399	334272.8662
400	334162.8136
401	334058.2929
402	334001.8899
403	333936.4292
404	333817.7651
405	333760.4768
406	333699.7396
407	333624.1748
408	333533.72
409	333465.1217
410	333397.4682
411	333314.8686
412	333233.1437
413	333150.7744
414	333104.9921
415	333059.2698
416	333025.7475
417	332893.2802
418	332785.4267
419	332702.556
420	332598.4846
421	332466.2281
422	332408.9629
423	332327.9067
424	332234.4884
425	332190.3468
426	332155.8006
427	332072.2294
428	331969.6307
429	331910.6997
430	331816.0375
431	331722.0417
432	331600.1582
433	331512.2534
434	331465.3504
435	331418.4941
436	331339.0006
437	331226.5648
438	331204.2031
439	331090.0735
440	331038.5748
441	330945.3638
442	330899.8419
443	330838.8718
444	330777.5917
445	330754.5305
446	330716.0265
447	330623.1523
448	330522.0917
449	330432.4391
450	330389.2333
451	330361.7046
452	330300.7055
453	330237.7607
454	330141.5667
455	330057.7406
456	329970.9114
457	329919.9087
458	329892.8847
459	329868.0748
460	329767.1451
461	329718.2786
462	329635.6498
463	329559.6599
464	329475.4326
465	329362.3604
466	329318.9356
467	329258.3758
468	329173.4368
469	329099.575
470	329076.0982
471	329032.0737
472	328953.1708
473	328910.3543
474	328864.5312
475	328804.7043
476	328740.5563
477	328724.0595
478	328660.9203
479	328569.0304
480	328489.9131
481	328445.833
482	328384.6565
483	328356.5881
484	328329.1994
485	328265.8655
486	328176.9918
487	328139.8672
488	328066.7124
489	328018.4188
490	327920.7613
491	327829.5394
492	327785.4523
493	327725.7944
494	327645.8762
495	327558.7979
496	327454.838
497	327392.5118
498	327351.8645
499	327286.88
500	327254.5007
501	327227.3261
502	327169.0258
503	327154.2277
504	327111.9492
505	327035.801
506	326998.8854
507	326963.8015
508	326918.0991
509	326877.6747
510	326822.1201
511	326762.3959
512	326720.6769
513	326633.8896
514	326592.6478
515	326556.0228
516	326514.8885
517	326461.3767
518	326442.8045
519	326408.0107
520	326387.165
521	326330.6091
522	326263.325
523	326222.5352
524	326154.8108
525	326115.9646
526	326097.5315
527	326078.6055
528	326026.8024
529	325967.661
530	325950.4524
531	325887.1114
532	325824.4472
533	325780.6727
534	325741.4369
535	325684.8195
536	325597.5549
537	325524.1348
538	325470.3638
539	325420.5273
540	325353.9084
541	325306.1789
542	325274.4751
543	325228.8321
544	325207.5097
545	325174.4316
546	325154.0627
547	325120.6803
548	325091.9577
549	325034.3327
550	324974.8434
551	324902.6897
552	324871.9673
553	324829.4078
554	324766.9096
555	324688.4566
556	324653.1422
557	324585.4837
558	324533.1768
559	324496.0936
560	324451.1719
