iter	Passed	Remaining
0	82	82540
1	161	80521
2	238	79250
3	315	78457
4	395	78672
5	467	77509
6	544	77304
7	620	76968
8	697	76856
9	775	76816
10	850	76440
11	925	76169
12	999	75855
13	1080	76100
14	1163	76379
15	1231	75729
16	1302	75329
17	1370	74784
18	1442	74483
19	1510	74013
20	1583	73806
21	1654	73554
22	1734	73668
23	1794	72992
24	1859	72513
25	1929	72264
26	2002	72149
27	2064	71684
28	2137	71567
29	2211	71499
30	2283	71380
31	2353	71189
32	2421	70946
33	2489	70736
34	2568	70808
35	2636	70607
36	2717	70718
37	2807	71069
38	2879	70947
39	2949	70777
40	3017	70571
41	3070	70043
42	3129	69657
43	3200	69533
44	3270	69402
45	3342	69330
46	3408	69119
47	3473	68890
48	3534	68601
49	3600	68413
50	3667	68247
51	3737	68129
52	3807	68024
53	3870	67804
54	3942	67731
55	4009	67596
56	4082	67544
57	4149	67390
58	4216	67246
59	4277	67011
60	4345	66888
61	4408	66696
62	4480	66638
63	4546	66491
64	4605	66248
65	4674	66154
66	4744	66068
67	4807	65890
68	4886	65938
69	4957	65863
70	5021	65708
71	5088	65588
72	5151	65419
73	5232	65472
74	5304	65420
75	5389	65523
76	5522	66193
77	5732	67763
78	5861	68334
79	5986	68843
80	6062	68779
81	6140	68744
82	6214	68661
83	6282	68510
84	6359	68455
85	6434	68380
86	6510	68324
87	6575	68142
88	6646	68030
89	6720	67951
90	6784	67774
91	6863	67743
92	6935	67639
93	7012	67585
94	7077	67422
95	7153	67365
96	7212	67140
97	7280	67013
98	7348	66881
99	7427	66844
100	7501	66769
101	7587	66798
102	7654	66661
103	7727	66578
104	7807	66549
105	7881	66474
106	7960	66435
107	8034	66360
108	8107	66276
109	8176	66159
110	8253	66101
111	8326	66015
112	8415	66057
113	8489	65980
114	8559	65874
115	8631	65781
116	8710	65741
117	8784	65663
118	8861	65605
119	8947	65615
120	9008	65439
121	9087	65399
122	9151	65254
123	9227	65187
124	9298	65086
125	9380	65065
126	9454	64992
127	9539	64986
128	9616	64932
129	9688	64838
130	9763	64766
131	9836	64683
132	9899	64534
133	9975	64467
134	10052	64411
135	10122	64305
136	10191	64196
137	10263	64111
138	10329	63984
139	10399	63881
140	10469	63783
141	10542	63702
142	10614	63610
143	10688	63534
144	10761	63456
145	10833	63367
146	10914	63332
147	10991	63275
148	11050	63113
149	11137	63110
150	11203	62990
151	11263	62838
152	11328	62714
153	11388	62560
154	11462	62491
155	11530	62384
156	11594	62253
157	11663	62156
158	11739	62095
159	11808	61996
160	11889	61956
161	11957	61852
162	12039	61820
163	12099	61676
164	12158	61531
165	12225	61423
166	12304	61375
167	12372	61273
168	12449	61213
169	12519	61124
170	12596	61067
171	12655	60922
172	12722	60818
173	12793	60730
174	12866	60654
175	12939	60580
176	13012	60502
177	13088	60441
178	13170	60409
179	13248	60354
180	13308	60220
181	13372	60100
182	13433	59974
183	13509	59911
184	13583	59842
185	13645	59717
186	13705	59586
187	13779	59514
188	13856	59458
189	13931	59392
190	14001	59305
191	14085	59276
192	14147	59157
193	14220	59082
194	14289	58991
195	14367	58936
196	14444	58878
197	14510	58776
198	14587	58716
199	14662	58648
200	14734	58571
201	14811	58512
202	14871	58388
203	14939	58291
204	15010	58211
205	15089	58161
206	15155	58059
207	15223	57965
208	15287	57860
209	15364	57801
210	15431	57705
211	15504	57628
212	15574	57545
213	15653	57492
214	15725	57417
215	15795	57331
216	15859	57226
217	15931	57147
218	16014	57111
219	16093	57057
220	16150	56929
221	16217	56834
222	16281	56728
223	16358	56672
